Date,Price,Account Value
09/21/2021,"33,919.84",1318044.668
09/22/2021,"34,258.32",1331197.2
09/23/2021,"34,764.82",1350878.59
09/24/2021,"34,798.00",1352167.887
09/27/2021,"34,869.37",1354941.156
09/28/2021,"34,299.99",1332816.397
09/29/2021,"34,390.72",1336341.95
09/30/2021,"33,843.92",1315094.597
10/01/2021,"34,326.46",1333844.959
10/04/2021,"34,002.92",1321272.96
10/05/2021,"34,314.67",1333386.827
10/06/2021,"34,416.99",1337362.74
10/07/2021,"34,754.94",1350494.677
10/08/2021,"34,746.25",1350157.004
10/11/2021,"34,496.06",1340435.213
10/12/2021,"34,378.34",1335860.893
10/13/2021,"34,377.81",1335840.298
10/14/2021,"34,912.56",1356619.417
10/15/2021,"35,294.76",1371470.804
10/18/2021,"35,258.61",1370066.101
10/19/2021,"35,457.31",1377787.112
10/20/2021,"35,609.34",1383694.638
10/21/2021,"35,603.08",1383451.389
10/22/2021,"35,677.02",1386324.523
10/25/2021,"35,741.15",1388816.463
10/26/2021,"35,756.88",1389427.693
10/27/2021,"35,490.69",1379084.18
